year,country,hospital,equipment,oem,model,sn,fix,result,notes
2011,40749.0,Matthew Fisher,"Autoclave (lab, surgery, and other)",ALL AMERICAN,25X,,"Electric Simple, Mechanical Simple, Power Supply","Repaired, Abandoned","replaced plug, but pressure not getting high enough inside autoclave. Wiring has been tampered with - cannibalized"
2011,40749.0,Matthew Fisher,Pulse Oximeter,CRITICARE SYSTEMS ENC.,CAT 503DX,103-101715 E,Electric Simple,Abandoned,Loose wiring. Decent pulse reading but bad SpO2 reading
2011,40749.0,Matthew Fisher,Other,DIGISYSTEM,RM-500,606130.0,Mechanical Simple,Repaired,(Lab roller mixer) Five cylindrical spokes that role in unison to mix liquids. Gears inside had popped loose and we pushed them back into place.
2011,40749.0,Matthew Fisher,Scales (laboratory and in wards),STRUERS,NETTNERBB2400,L27744,Installation/Training,Repaired,Scale was not calibrated to be a totally level in place that it was being used. Good to find one place to put it and calibrate it there. (lab)
2011,40749.0,Matthew Fisher,Aspirator/Suction Machine,GIMA,N/A,2098.0,"Electric Simple, Mechanical Simple",Repaired,Wiring was a mess (someone had tampered with it) and clogged filter
2011,40749.0,Matthew Fisher,Electrosurgery Unit (ESU),ESCHMAN,TD 300,561/79,Installation/Training,Repaired,Needed to figure out how to work it and replace grounding part that goes underneath patiet
2011,40749.0,Matthew Fisher,Aspirator/Suction Machine,ASKIR,115.0,1575.0,Mechanical Simple,Repaired,Blowing out instead of sucking in so switched tubing leads from the motor. Then there was a connection where the tube had broken off so connected the in tube directly to Y joint.
2011,40749.0,Matthew Fisher,Oxygen Concentrator,NIDEK MEDICAL,M5C5/Mark 5 Nuvo/ STD,5221343.0,"Electric Simple, Power Supply, Installation/Training",Repaired,"Starter cap not very good, takes a bit of time to start (user error) also replaced plug"
2011,40749.0,Matthew Fisher,"Lamp, surgical",HANAULUX,blueline,~01000077,,Repaired,"Wiring wrong, wired it correctly to try and recharge batteries"
2011,40749.0,Matthew Fisher,"Lamp, surgical",HANAULUX ,blueline,~01000072,,Repaired,"Wiring wrong, wired it correctly to try and recharge batteries"
2011,40749.0,Matthew Fisher,"Autoclave (lab, surgery, and other)",ALL AMERICAN,25X,,Mechanical Simple,"Repaired, Abandoned","inconsistent pressure building, added silicon - WARNING during one test the case of the device was electricified - cannabalized with other autoclave"
2011,40749.0,Matthew Fisher,"Lamp, surgical",MACH 2,Mach M2,08/02358,Electric Simple,Repaired,cannabilized with item below and worked
2011,40749.0,Matthew Fisher,"Lamp, surgical",MACH 2,Mach M2,08/04005,Electric Simple,Abandoned,head of this lamp works (tested it on other base and 6V came out) but the base does not create enough voltage - transformer problem possibly?
2011,40749.0,Matthew Fisher,Scales (laboratory and in wards),AXIOM GMBH,Baby scale,,Mechanical Simple,Repaired,Link between the weight part and the part of the scale that goes up and down had been moved. We were unable to calibrate it completely but now it is consistently off a tad. 
2011,40749.0,Matthew Fisher,Aspirator/Suction Machine,ESCHMAN,Matburn DV 20,16765.0,Mechanical Simple,Repaired,"Tubing and water container were shot, so we cannabilized another piece of equipment to get the tubes and container"
