country,fix,equipment,engineers,sn,oem,year,model,hospital,notes,result
Nicaragua,Mechanical Simple,Incubator (infant),Adedayo O. Jobi-Odeneye,,Fanem,2014,c186 TS,Somotillo,Wont heat up. Checked for continuation & Volt.Drop,
Nicaragua,Other,Infusion pumps,Adedayo O. Jobi-Odeneye,x,Critikon,2014,K1635,Somotillo,screen doesnt displan anything. Alarm goes off,
Nicaragua,Power Supply,Defibrillator (automatic and manual),Adedayo O. Jobi-Odeneye,04/00242132,Osatu s. coop,2014,x,Somotillo,Spare battery removed. Wont charg. Doesnt display,
Nicaragua,Other,Other,Adedayo O. Jobi-Odeneye,1910-1440,2MM,2014,Diagnostiko-500,Somotillo,Chemical Analyzer. Cleaned it,Repaired
Nicaragua,Mechanical Simple,Microscope ,Adedayo O. Jobi-Odeneye,,Olympus,2014,cx21FS,Somotillo,stage goes down by itself,
,Motor,Other,,239121.0,Laboratory Supplies Inc,2014,X,,Blood Cell Counter (Differnetial 9 units). Synchronized 1 unit with total counter,Repaired
,Other,Centrifuge,,819089.0,Miami Medical,2014,,,Replaced inner black tubings of the plates,Repaired
,Mechanical Simple,Centrifuge,,550.0,Hamilton Bell Co. ,2014,1505.0,,Took of rusting parts with sand paper. Cleaned and removed stuck test-tubes.,Repaired
,Electric Simple,Other,,x,Selecta-Mavca,2014,x,, Parafin Dispenser Reconnected bad thermostat. Minor Maintenance (cleaning),Repaired
,Electric Simple,Water Bath (laboratory),,11976.0,Bunsen,2014,x,,"Temperature Regulator problems, rplaced button and control box from another machine",
,Electric Simple,"Autoclave (lab, surgery, and other)",,3850E,Tuttnauer,2014,2809330.0,,"""On"" prong on on/off switch was not working",Repaired
,Mechanical Simple,"Autoclave (lab, surgery, and other)",,ET)11199,MIDMARK,2014,M11 Ultraclave(M11-002),,"Broken handle, make-shift handle from scrap plastic",Repaired
,Power Supply,Centrifuge,,804909.0,Miami Medical,2014,3411.0,,Doesn’t turn on. Needs a new carbon Brush. Replaced with new carbon Brush,Repaired
,Power Supply,"Autoclave (lab, surgery, and other)",,8LJ3669,CE,2014,HI-VAC Jr,,Cables were switched,Repaired
,Other,Other,,AD1120801,Viays-Pac,2014,310B001,,NEBULIZER.. Took apart and cleaned it,
Nicaragua,Electric Simple,Incubator (infant),"Elliot Russell, Yinka Olutoye, Nick Hajjar",10.224.620.005,Fanem,2014,C186 TS,"Asuncion, Juigalpa","Sometimes doesn't heat, maintainence cleaning and released",Repaired
Nicaragua,Electric Simple,Other,"Elliot Russell, Yinka Olutoye, Nick Hajjar",NA,Cobra,2014,MicroTalk,"Asuncion, Juigalpa","Walkie Talkie, doesn't turn on",Abandoned
Nicaragua,Installation/Training,ECG Machine,"Elliot Russell, Yinka Olutoye, Nick Hajjar",5081123.0,Cardioline,2014,AR-600 ADV,"Asuncion, Juigalpa","Successful test, translated digital menus",Repaired
Nicaragua,Electric Simple,Pulse Oximeter,"Elliot Russell, Yinka Olutoye, Nick Hajjar",D8L0300043,Bionet,2014,BM5,"Asuncion, Juigalpa",Appears to be internal error,Abandoned
Nicaragua,Power Supply,Surge Protector,"Elliot Russell, Yinka Olutoye, Nick Hajjar",,Topper,2014,AC Power Strip,"Asuncion, Juigalpa",Rewired and returned,Repaired
Nicaragua,Electric Simple,Surge Protector,"Elliot Russell, Yinka Olutoye, Nick Hajjar",9190781165.0,Forza,2014,NO:FVR-1211B,"Asuncion, Juigalpa","Circuit board physical cracked, removed and rewired",Repaired
Nicaragua,Electric Simple,Surge Protector,"Elliot Russell, Yinka Olutoye, Nick Hajjar",5827700040.0,Chicago Digital Power,2014,B-AVR1006,"Asuncion, Juigalpa","Switch broken, bypassed and returned",Repaired
Nicaragua,Power Supply,Phototherapy device,"Elliot Russell, Yinka Olutoye, Nick Hajjar",pt533-1,Air Shields Vickers,2014,,"Asuncion, Juigalpa","Missing transformer, switch broken",Repaired
Nicaragua,Electric Simple,Spectrophotometer/Colorimeter,"Elliot Russell, Yinka Olutoye, Nick Hajjar",1904-7194,"Awareness Technology, Inc.",2014,"STAT FAX, 1904+","Asuncion, Juigalpa",Screen sometimes malfunctions,Repaired
Nicaragua,Power Supply,"Oven (laboratory, not kitchen)","Elliot Russell, Yinka Olutoye, Nick Hajjar",N/A,Tuttnauer,2014,N/A,"Asuncion, Juigalpa","Wire disconnected, switch malfunctioning, repaired",Repaired
Nicaragua,Other,Microscope ,"Elliot Russell, Yinka Olutoye, Nick Hajjar",3K05823,Olympus,2014,CX31RBSFA,"Asuncion, Juigalpa",Bad light holder,Repaired
Nicaragua,Mechanical Simple,Microscope ,"Elliot Russell, Yinka Olutoye, Nick Hajjar",861600.0,Olympus,2014,H12603,"Asuncion, Juigalpa","Objective broken, salvage from other microscope",Repaired
Nicaragua,Electric Simple,Other,"Elliot Russell, Yinka Olutoye, Nick Hajjar",UR77EC1303,Panasonic,2014,N/A,"Asuncion, Juigalpa","Remote, bad soldering, resoldered and returned",Repaired
Nicaragua,Electric Simple,Infusion pumps,"Elliot Russell, Yinka Olutoye, Nick Hajjar",,Lutech,2014,SK-600 II,"Asuncion, Juigalpa","Buttons are malfunctioning, need replacement",Abandoned
Nicaragua,Installation/Training,Infusion pumps,"Elliot Russell, Yinka Olutoye, Nick Hajjar",,Lutech,2014,SK-600 II,"Asuncion, Juigalpa","Buttons are malfunctioning, need replacement",Abandoned
Nicaragua,Installation/Training,Ventilator,"Elliot Russell, Yinka Olutoye, Nick Hajjar",BAV06807,Avea,2014,17312-06,"Asuncion, Juigalpa","Reported error, no error found, clean and return",Repaired
Nicaragua,Other,Pulse Oximeter,"Elliot Russell, Yinka Olutoye, Nick Hajjar",CN4FABAQ00656,Goldway,2014,UT4000F Patient Monitor,"Asuncion, Juigalpa","Unknown error, not sensing sensor, but lit up",Abandoned
Nicaragua,Motor,Ventilator,"Elliot Russell, Yinka Olutoye, Nick Hajjar",BAV06808,Avea,2014,17312-06,"Asuncion, Juigalpa",Pump broken,Abandoned
Nicaragua,Other,Ventilator,"Elliot Russell, Yinka Olutoye, Nick Hajjar",BAV06802,Avea,2014,17312-06,"Asuncion, Juigalpa","Screen dark/broken, switched with other, returned",Repaired
Nicaragua,Other,Ventilator,"Elliot Russell, Yinka Olutoye, Nick Hajjar",BAV06809,Avea,2014,17312-06,"Asuncion, Juigalpa","Multiple problems, pump, internal, unsalvagable ",Abandoned
Nicaragua,Mechanical Simple,"Autoclave (lab, surgery, and other)","Elliot Russell, Yinka Olutoye, Nick Hajjar",59.233.783/0002-8T,Sercon Independent,2014,AHMC10,"Asuncion, Juigalpa","Door malfunctioning, leak as well",Repaired
Nicaragua,Electric Simple,"Lamp, surgical","Elliot Russell, Yinka Olutoye, Nick Hajjar",N/A,Heal Force,2014,N/A,"Asuncion, Juigalpa","Disconnected wires, resoldered and returned",Repaired
Nicaragua,Other,"Lamp, surgical","Elliot Russell, Yinka Olutoye, Nick Hajjar",N/A,Heal Force,2014,N/A,"Asuncion, Juigalpa","Burnt our bulbs, purchased and replaced",Repaired
Nicaragua,Other,"Lamp, surgical","Elliot Russell, Yinka Olutoye, Nick Hajjar",N/A,Heal Force,2014,N/A,"Asuncion, Juigalpa","Burnt our bulbs, purchased and replaced",Repaired
Nicaragua,Other,Infusion pumps,"Elliot Russell, Yinka Olutoye, Nick Hajjar",,Lutech,2014,SK-600 II,"Asuncion, Juigalpa","User error/no problem found, returned",Repaired
Tanzania,Mechanical Simple,X-Ray Machine,Brendan Smith & Zohaib Shaikh,,Philips,2014,,"Selian Lutheran Hospital, Arusha","Film holder was slightly loose - put a nut to hold a screw in place and tightened fixture; broke differently another time where the bottom part of the frame was dangling loose, unconnected to the rest of the spring frame; put in new screw to reattach to the rest of the frame.",Repaired
Tanzania,Mechanical Simple,"Oven (laboratory, not kitchen)",Brendan Smith & Zohaib Shaikh,80/12/111,Gallenkamp,2014,Hotbox Oven Size 1,"Selian Lutheran Hospital, Arusha",Dial was miscalibrated - changed dial position,Repaired
Tanzania,Installation/Training,Stethoscopes,Brendan Smith & Zohaib Shaikh,N/A,Riester,2014,Duplex,"Selian Lutheran Hospital, Arusha",Stethoscope was working perfectly - just had two different sides that switched off on working,Repaired
Tanzania,Other,Stethoscopes,Brendan Smith & Zohaib Shaikh,N/A,N/A,2014,N/A,"Selian Lutheran Hospital, Arusha",Was dirty - cleaned,Repaired
Tanzania,Electric Simple,Thermometers,Brendan Smith & Zohaib Shaikh,3494066.0,WelchAllyn,2014,SureTemp Model 679,"Selian Lutheran Hospital, Arusha",Part of PCB broke off - not repairable,Abandoned
Tanzania,Power Supply,Other,Brendan Smith & Zohaib Shaikh,N/A,MYOUNUS,2014,Room Heater,"Selian Lutheran Hospital, Arusha",Poor connections in the plug and on the back - screwed wires back in,Repaired
Tanzania,Plumbing,Oxygen Concentrator,Brendan Smith & Zohaib Shaikh,9222607.0,Nidek Medical,2014,M5C5/MARK5 NUVO/STD,"Selian Lutheran Hospital, Arusha",Filter was incredibly clogged with dust; replaced filter with slightly cleaner one from abandoned concentrator.,Repaired
Tanzania,Other,Pulse Oximeter,Brendan Smith & Zohaib Shaikh,N26222,Masimo,2014,Rad-5,"Selian Lutheran Hospital, Arusha",Bad sensor,Abandoned
Tanzania,Mechanical Simple,UPS (battery backup for computer),Brendan Smith & Zohaib Shaikh,N/A,Philux,2014,PHR-1000VA,"Selian Lutheran Hospital, Arusha",Plug did not properly fit into output of UPS - screw protruded into back of grounding pin hole,Repaired
Tanzania,Mechanical Simple,Scales (laboratory and in wards),Brendan Smith & Zohaib Shaikh,3408-1705,Detecto,2014,Model No. 2491UN,"Selian Lutheran Hospital, Arusha",Was very inaccurate; shifting weight on scale would drastically change readings; inserted metal pieces on bottom to balance scale,Repaired
Tanzania,Mechanical Simple,"Autoclave (lab, surgery, and other)",Brendan Smith & Zohaib Shaikh,N/A,Chinese Company,2014,The Stainless-Steel Steam-Pressure Disinfecting Apparatus Model YX-280A,"Selian Lutheran Hospital, Arusha","Autoclave was missing washers that kept the lid sealed; had low pressure. Replaced washers, tested, and trained lab technician on use.",Repaired
Tanzania,Motor,Oxygen Concentrator,Brendan Smith & Zohaib Shaikh,106051001305,Respironics,2014,Millenium M10605 Oxygen Concentrator,"Selian Lutheran Hospital, Arusha",Cooling fan for motor wasn't working; machine would overheat and turn off.,Abandoned
Tanzania,Electric Simple,Other,Brendan Smith & Zohaib Shaikh,1146013594,HemoCue,2014,Hb 201+,"Selian Lutheran Hospital, Arusha","Keeps throwing ""E23"", which suggests that the internal battery (3V Cell) needs replacing",
Tanzania,Plumbing,Oxygen Concentrator,Brendan Smith & Zohaib Shaikh,,Nidek Medical,2014,M5C5/MARK5 NUVO/STD,"Selian Lutheran Hospital, Arusha",Tubing from compressed air tank was leaking; fixed with epoxy. Zeolite tanks may be leaking on the bottom. Lots of leaks that are unable to be fixed.,Abandoned
Tanzania,Installation/Training,Thermometers,Brendan Smith & Zohaib Shaikh,3570944,WelchAllyn,2014,SureTemp Model 678,"Selian Lutheran Hospital, Arusha",Seemed to work perfectly for oral temperature though surgery department said it was broken,Repaired
Tanzania,Installation/Training,Thermometers,Brendan Smith & Zohaib Shaikh,5281049,WelchAllyn,2014,SureTemp Model 678,"Selian Lutheran Hospital, Arusha",Seemed to work perfectly for oral temperature though surgery department said it was broken,Repaired
Tanzania,Power Supply,Microscope ,Brendan Smith & Zohaib Shaikh,N/A,American Optical Company,2014,Spencer Model No. 105,"Selian Lutheran Hospital, Arusha",Transformer in power supply seems to be blown & light needs to be replaced,Abandoned
Tanzania,Other,Thermometers,Brendan Smith & Zohaib Shaikh,,IVAC,2014,Temp Plus II Model 2080A,"Selian Lutheran Hospital, Arusha","Batteries were drained; when batteries were replaced, the unit seemed to work fine for several minutes. Then, the number ""2"" and ""FIX ME"" appeared on the screen as the screen faded away. ",Abandoned
Tanzania,Plumbing,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Brendan Smith & Zohaib Shaikh,,Riester (Cuff),2014,,"Selian Lutheran Hospital, Arusha","Mixed & matched parts to create a whole, functioning sphygmomanometer",Repaired
Tanzania,Plumbing,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Brendan Smith & Zohaib Shaikh,,AMPri (Gauge),2014,,"Selian Lutheran Hospital, Arusha",Mixed & matched parts; recalibrated dial by opening up face of gauge and nudging it into place. ,Repaired
Tanzania,Power Supply,Scales (laboratory and in wards),Brendan Smith & Zohaib Shaikh,N/A,AWS,2014,BB-44 Baby Scale,"Selian Lutheran Hospital, Arusha",Spring to hold battery in place was broken; replaced with wire and replaced batteries.,Repaired
Tanzania,Power Supply,"Blood Pressure Device, Automatic (NIBP)",Brendan Smith & Zohaib Shaikh,COMF00917,Invivo Research Inc.,2014,Omega 1445,"Selian Lutheran Hospital, Arusha","Completely worked when brought by our container, but was missing SaO2 probe. Required 110 V. ",Repaired
